Node,RSSI
4011G,-73
4011G,-73
4011G,-73
4011G,-73
4011G,-75
4011G,-75
4011G,-75
4011G,-75
4011G,-75
4011G,-75
4011G,-75
4011G,-75
4011G,-75
4011G,-75
4011G,-75
4011G,-75
4011G,-75
4011G,-69
4011G,-69
4011G,-69
4011G,-69
4011G,-69
4011G,-69
4011G,-69
4011G,-69
4011G,-67
4011G,-67
4011G,-67
4011G,-67
4011G,-67
4011G,-67
4011G,-67
4011G,-67
4011G,-67
4011G,-63
4011G,-63
4011G,-63
4011G,-63
4011G,-63
4011G,-63
4011G,-63
4011G,-63
4011G,-63
4011G,-61
4011G,-61
