Pos_X,Pos_Y,Node_A,Node_B,Node_C,Node_D,Node_E,Node_F,Node_G,Node_H,Node_I,Node_J,Node_K,Node_L
200,134,-62,-53,-54,-69,-58,-54,-65,-58,-61,-59,-83,-63
200,134,-62,-53,-54,-69,-58,-54,-65,-58,-61,-55,-83,-63
200,134,-62,-53,-54,-70,-58,-54,-65,-58,-61,-55,-83,-80
200,134,-62,-53,-54,-70,-60,-54,-65,-58,-61,-55,-83,-80
200,134,-61,-59,-54,-70,-60,-54,-68,-58,-61,-55,-65,-80
200,134,-61,-59,-54,-70,-60,-55,-68,-58,-61,-55,-66,-80
200,134,-61,-59,-56,-70,-60,-55,-68,-58,-61,-55,-66,-80
200,134,-61,-59,-56,-70,-60,-55,-68,-58,-56,-59,-65,-80
200,134,-62,-57,-56,-70,-60,-55,-68,-58,-56,-57,-65,-63
200,134,-62,-57,-56,-70,-60,-55,-68,-58,-56,-59,-65,-63
200,134,-62,-55,-56,-74,-60,-54,-68,-58,-56,-60,-68,-63
200,134,-62,-55,-56,-74,-60,-54,-68,-58,-56,-60,-68,-63
200,134,-62,-55,-56,-74,-60,-54,-68,-58,-56,-60,-68,-63
200,134,-62,-55,-55,-74,-60,-54,-68,-58,-56,-60,-68,-63
200,134,-59,-58,-57,-74,-60,-54,-68,-58,-56,-60,-68,-63
200,134,-59,-58,-57,-67,-60,-54,-68,-58,-56,-60,-68,-63
200,134,-59,-58,-57,-67,-60,-54,-68,-58,-56,-60,-68,-63
200,134,-59,-58,-57,-67,-60,-54,-68,-58,-56,-60,-68,-63
200,134,-61,-58,-57,-67,-60,-54,-68,-58,-56,-60,-66,-66
200,134,-61,-56,-58,-67,-60,-54,-68,-58,-56,-60,-66,-66
200,134,-61,-56,-58,-67,-60,-54,-68,-58,-56,-60,-66,-66
200,134,-61,-56,-56,-67,-60,-54,-68,-58,-58,-60,-66,-66
200,134,-62,-56,-56,-67,-58,-55,-62,-58,-59,-60,-63,-66
200,134,-62,-56,-56,-67,-62,-55,-62,-58,-59,-60,-63,-66
200,134,-62,-56,-56,-70,-59,-55,-60,-58,-59,-60,-63,-66
200,134,-62,-56,-56,-70,-59,-55,-60,-58,-59,-60,-63,-66
200,134,-62,-56,-56,-72,-59,-55,-60,-56,-59,-60,-63,-66
200,134,-62,-56,-56,-72,-59,-55,-60,-56,-59,-60,-63,-66
200,134,-62,-58,-62,-72,-59,-55,-60,-56,-59,-60,-63,-66
200,134,-62,-61,-62,-67,-59,-58,-60,-56,-59,-55,-63,-66
200,134,-62,-61,-62,-65,-59,-58,-60,-57,-59,-55,-63,-66
200,134,-62,-59,-62,-65,-59,-58,-60,-57,-59,-55,-63,-66
200,134,-62,-59,-62,-65,-59,-58,-60,-57,-59,-55,-63,-66
200,134,-60,-58,-66,-66,-59,-58,-64,-57,-59,-55,-67,-66
200,134,-60,-58,-66,-66,-59,-58,-66,-57,-59,-55,-67,-66
200,134,-60,-58,-66,-66,-59,-57,-66,-57,-59,-55,-67,-66
200,134,-60,-58,-66,-66,-59,-57,-66,-57,-59,-55,-67,-66
200,134,-60,-58,-66,-66,-59,-57,-66,-57,-59,-62,-67,-66
200,134,-62,-58,-64,-67,-66,-57,-66,-57,-59,-61,-67,-66
200,134,-62,-58,-64,-67,-66,-57,-66,-58,-59,-59,-67,-66
200,134,-62,-64,-64,-82,-66,-59,-66,-58,-59,-59,-67,-66
200,134,-62,-64,-64,-82,-66,-59,-70,-58,-59,-54,-67,-58
200,134,-62,-64,-64,-82,-66,-59,-70,-58,-59,-54,-67,-58
200,134,-62,-64,-64,-82,-66,-59,-70,-55,-59,-54,-64,-58
200,134,-62,-64,-64,-82,-66,-59,-70,-53,-59,-54,-63,-67
200,134,-72,-64,-64,-60,-66,-59,-70,-53,-59,-49,-63,-70
200,134,-70,-64,-64,-60,-66,-59,-70,-53,-66,-50,-63,-70
200,134,-69,-64,-64,-60,-59,-59,-70,-53,-66,-50,-63,-73
200,134,-69,-64,-64,-60,-59,-59,-59,-53,-72,-48,-63,-73
200,134,-69,-64,-64,-60,-62,-59,-59,-53,-72,-48,-63,-65
200,134,-69,-64,-64,-66,-62,-59,-59,-53,-72,-48,-63,-65
200,134,-69,-64,-64,-66,-62,-60,-59,-50,-72,-48,-64,-65
200,134,-64,-64,-64,-66,-62,-60,-59,-50,-72,-48,-64,-65
200,134,-64,-64,-64,-66,-62,-60,-59,-50,-72,-48,-64,-65
200,134,-64,-64,-64,-66,-62,-60,-58,-50,-72,-48,-64,-65
200,134,-64,-64,-64,-66,-61,-60,-57,-50,-72,-48,-64,-65
200,134,-64,-64,-64,-66,-61,-60,-57,-50,-72,-43,-64,-66
200,134,-67,-64,-64,-66,-63,-59,-57,-53,-72,-43,-66,-65
200,134,-67,-64,-64,-66,-59,-59,-57,-53,-72,-43,-73,-65
