Node,RSSI
4011K,-60
4011K,-60
4011K,-60
4011K,-60
4011K,-60
4011K,-60
4011K,-60
4011K,-60
4011K,-60
4011K,-60
4011K,-58
4011K,-58
4011K,-58
4011K,-58
4011K,-58
4011K,-58
4011K,-58
4011K,-58
4011K,-58
4011K,-58
4011K,-58
4011K,-58
4011K,-58
4011K,-58
4011K,-58
4011K,-58
4011K,-58
4011K,-58
4011K,-58
4011K,-58
4011K,-58
4011K,-58
4011K,-58
4011K,-58
4011K,-57
4011K,-57
4011K,-57
4011K,-57
4011K,-57
4011K,-57
4011K,-57
4011K,-57
4011K,-57
4011K,-57
4011K,-57
