Node,RSSI
4011F,-39
4011F,-39
4011F,-39
4011F,-39
4011F,-39
4011F,-39
4011F,-39
4011F,-39
4011F,-39
4011F,-39
4011F,-39
4011F,-38
4011F,-38
4011F,-38
4011F,-38
4011F,-38
4011F,-38
4011F,-38
4011F,-38
4011F,-38
4011F,-38
4011F,-38
4011F,-38
4011F,-38
4011F,-38
4011F,-38
4011F,-38
4011F,-38
4011F,-38
4011F,-38
4011F,-38
4011F,-36
4011F,-36
4011F,-36
4011F,-36
4011F,-35
4011F,-35
4011F,-35
4011F,-35
4011F,-35
4011F,-35
4011F,-35
4011F,-35
4011F,-35
4011F,-35
4011F,-35
4011F,-35
4011F,-35
4011F,-35
4011F,-35
4011F,-35
