Node,RSSI
4011C,-42
4011C,-42
4011C,-42
4011C,-42
4011C,-42
4011C,-42
4011C,-42
4011C,-42
4011C,-42
4011C,-42
4011C,-42
4011C,-42
4011C,-42
4011C,-42
4011C,-40
4011C,-40
4011C,-40
4011C,-40
4011C,-40
4011C,-40
4011C,-40
4011C,-40
4011C,-37
4011C,-37
4011C,-37
4011C,-37
4011C,-37
4011C,-39
4011C,-40
4011C,-40
4011C,-40
4011C,-40
4011C,-40
4011C,-40
4011C,-38
4011C,-38
4011C,-41
4011C,-41
4011C,-41
4011C,-41
4011C,-41
4011C,-41
4011C,-41
4011C,-41
4011C,-41
4011C,-41
4011C,-41
4011C,-41
4011C,-42
4011C,-42
4011C,-42
