Pos_X,Pos_Y,Node_A,Node_B,Node_C,Node_D,Node_E,Node_F,Node_G,Node_H,Node_I,Node_J,Node_K,Node_L
3.5,3,-66,-57,-63,-50,-47,-57,-62,-65,-60,-56,-79,-70
3.5,3,-65,-57,-63,-50,-47,-57,-62,-65,-61,-56,-79,-70
3.5,3,-65,-57,-63,-50,-47,-57,-58,-65,-61,-56,-79,-70
3.5,3,-65,-60,-63,-50,-47,-57,-58,-65,-61,-56,-79,-70
3.5,3,-65,-60,-63,-50,-47,-57,-58,-63,-58,-56,-72,-70
3.5,3,-65,-60,-63,-50,-47,-58,-58,-63,-58,-56,-72,-70
3.5,3,-65,-60,-63,-50,-46,-58,-57,-63,-56,-56,-69,-78
3.5,3,-65,-60,-70,-50,-46,-58,-55,-63,-57,-56,-69,-73
3.5,3,-67,-62,-70,-50,-46,-58,-55,-62,-57,-56,-71,-73
3.5,3,-67,-62,-69,-50,-48,-58,-55,-64,-57,-56,-71,-68
3.5,3,-67,-62,-69,-50,-48,-62,-55,-64,-57,-56,-71,-68
3.5,3,-60,-54,-69,-49,-48,-62,-58,-64,-57,-62,-64,-68
3.5,3,-60,-54,-69,-49,-48,-62,-58,-64,-57,-62,-64,-68
3.5,3,-60,-54,-69,-49,-48,-62,-58,-64,-57,-62,-64,-68
3.5,3,-60,-54,-63,-49,-48,-62,-58,-64,-57,-62,-64,-69
3.5,3,-60,-54,-63,-51,-48,-62,-58,-64,-57,-62,-64,-69
3.5,3,-60,-53,-63,-51,-48,-55,-58,-60,-58,-60,-64,-69
3.5,3,-60,-53,-63,-51,-48,-55,-58,-60,-58,-60,-64,-69
3.5,3,-56,-53,-63,-51,-48,-53,-58,-61,-58,-60,-64,-72
3.5,3,-56,-53,-63,-51,-48,-53,-58,-61,-58,-60,-64,-72
3.5,3,-56,-53,-57,-51,-48,-53,-58,-61,-58,-60,-64,-72
3.5,3,-56,-50,-57,-51,-49,-53,-58,-61,-58,-60,-64,-72
3.5,3,-56,-50,-57,-51,-49,-53,-54,-63,-58,-60,-64,-67
