Pos_X,Pos_Y,Node_A,Node_B,Node_C,Node_D,Node_E,Node_F,Node_G,Node_H,Node_I,Node_J,Node_K,Node_L
2.5,1.5,-55,-50,-62,-55,-51,-54,-67,-67,-66,-63,-63,-58
2.5,1.5,-55,-50,-62,-55,-51,-54,-61,-67,-66,-63,-63,-58
2.5,1.5,-55,-49,-62,-55,-51,-56,-61,-67,-66,-63,-63,-58
2.5,1.5,-52,-51,-62,-55,-51,-56,-61,-67,-59,-63,-63,-58
2.5,1.5,-52,-51,-62,-55,-51,-56,-61,-67,-59,-63,-62,-58
2.5,1.5,-52,-51,-62,-55,-51,-56,-63,-67,-59,-63,-62,-58
2.5,1.5,-52,-51,-62,-55,-56,-56,-63,-67,-59,-63,-62,-58
2.5,1.5,-52,-51,-62,-55,-57,-56,-63,-68,-59,-63,-62,-58
2.5,1.5,-52,-51,-62,-55,-58,-56,-62,-68,-59,-63,-62,-58
2.5,1.5,-62,-55,-62,-55,-61,-56,-62,-68,-59,-50,-57,-58
2.5,1.5,-62,-57,-62,-55,-61,-56,-62,-76,-63,-51,-57,-58
2.5,1.5,-62,-55,-62,-55,-57,-56,-62,-76,-63,-51,-65,-64
2.5,1.5,-63,-55,-50,-55,-58,-56,-61,-76,-63,-49,-63,-64
2.5,1.5,-59,-55,-50,-62,-58,-56,-61,-76,-63,-49,-63,-64
2.5,1.5,-59,-55,-50,-62,-58,-63,-61,-76,-63,-49,-63,-64
2.5,1.5,-59,-55,-53,-62,-58,-63,-68,-76,-63,-49,-63,-53
2.5,1.5,-59,-55,-53,-62,-58,-63,-68,-76,-62,-49,-63,-53
2.5,1.5,-59,-62,-53,-62,-58,-63,-68,-76,-62,-57,-63,-53
2.5,1.5,-59,-62,-53,-78,-58,-63,-68,-76,-62,-57,-63,-53
2.5,1.5,-63,-62,-54,-78,-58,-63,-68,-76,-62,-57,-63,-53
2.5,1.5,-63,-62,-54,-78,-58,-63,-68,-61,-62,-57,-63,-53
2.5,1.5,-63,-55,-54,-77,-68,-55,-74,-61,-61,-64,-60,-53
2.5,1.5,-54,-55,-54,-65,-68,-55,-74,-61,-61,-64,-60,-53
2.5,1.5,-54,-55,-55,-65,-68,-55,-74,-61,-61,-64,-60,-53
2.5,1.5,-54,-55,-55,-65,-68,-55,-74,-61,-61,-60,-60,-53
2.5,1.5,-55,-55,-55,-67,-68,-56,-74,-61,-61,-60,-60,-53
2.5,1.5,-55,-54,-55,-67,-68,-55,-74,-61,-61,-60,-60,-53
2.5,1.5,-55,-54,-53,-67,-62,-55,-69,-61,-61,-59,-60,-54
2.5,1.5,-54,-54,-52,-67,-60,-56,-69,-61,-61,-59,-58,-54
2.5,1.5,-54,-54,-52,-67,-60,-56,-69,-61,-61,-59,-58,-54
2.5,1.5,-54,-54,-52,-67,-60,-56,-69,-61,-60,-59,-58,-54
2.5,1.5,-54,-54,-52,-67,-60,-56,-69,-61,-60,-59,-58,-53
2.5,1.5,-54,-54,-52,-67,-60,-56,-69,-61,-60,-59,-58,-53
2.5,1.5,-55,-54,-52,-67,-60,-57,-69,-64,-60,-59,-60,-53
2.5,1.5,-55,-54,-52,-67,-60,-56,-69,-64,-60,-59,-60,-53
2.5,1.5,-54,-54,-53,-68,-60,-55,-69,-63,-60,-59,-61,-52
2.5,1.5,-54,-54,-53,-68,-59,-55,-69,-63,-60,-59,-61,-52
2.5,1.5,-53,-54,-53,-68,-59,-55,-69,-63,-60,-59,-61,-52
2.5,1.5,-53,-54,-55,-68,-59,-55,-69,-63,-60,-59,-61,-52
