P.5os_X,Pos_Y,Node_A,Node_B,Node_C,Node_D,Node_E,Node_F,Node_G,Node_H,Node_I,Node_J,Node_K,Node_L
3.5,1,-54,-50,-45,-50,-51,-67,-57,-60,-62,-61,-61,-56
3.5,1,-54,-50,-45,-54,-51,-67,-57,-60,-62,-62,-62,-56
3.5,1,-56,-50,-45,-54,-48,-74,-57,-56,-62,-62,-62,-56
3.5,1,-57,-50,-48,-54,-48,-74,-57,-56,-62,-62,-58,-56
3.5,1,-57,-50,-46,-54,-48,-74,-57,-56,-62,-62,-59,-55
3.5,1,-58,-50,-46,-54,-48,-74,-57,-56,-62,-66,-59,-55
3.5,1,-58,-50,-46,-54,-55,-75,-57,-56,-62,-66,-59,-55
3.5,1,-56,-50,-46,-54,-52,-67,-59,-56,-62,-66,-59,-55
3.5,1,-56,-50,-46,-54,-52,-67,-59,-56,-62,-66,-59,-55
3.5,1,-56,-50,-46,-54,-52,-67,-59,-56,-62,-66,-59,-55
3.5,1,-56,-50,-46,-54,-52,-67,-59,-56,-62,-66,-59,-54
3.5,1,-59,-50,-46,-56,-52,-72,-59,-56,-62,-66,-59,-54
3.5,1,-59,-50,-47,-54,-52,-72,-59,-58,-60,-61,-63,-54
3.5,1,-59,-50,-47,-55,-52,-69,-59,-58,-60,-61,-59,-53
3.5,1,-59,-50,-47,-55,-52,-69,-59,-58,-60,-61,-59,-53
3.5,1,-59,-50,-47,-55,-52,-69,-59,-58,-60,-61,-59,-53
3.5,1,-59,-50,-47,-55,-52,-69,-59,-58,-60,-61,-59,-53
3.5,1,-54,-50,-47,-55,-52,-69,-59,-58,-60,-61,-59,-54
3.5,1,-54,-50,-44,-55,-52,-65,-54,-58,-60,-61,-59,-55
3.5,1,-54,-50,-44,-55,-52,-65,-54,-58,-60,-61,-59,-55
3.5,1,-54,-50,-44,-55,-52,-65,-54,-58,-63,-61,-59,-55
3.5,1,-54,-50,-44,-52,-54,-65,-55,-61,-63,-61,-59,-55
3.5,1,-54,-50,-44,-52,-54,-67,-55,-61,-63,-61,-59,-55
3.5,1,-54,-50,-44,-52,-55,-67,-55,-62,-63,-61,-62,-55
3.5,1,-54,-50,-42,-52,-55,-67,-55,-62,-64,-61,-62,-53
3.5,1,-54,-51,-42,-52,-55,-67,-55,-62,-64,-56,-63,-53
3.5,1,-53,-51,-42,-52,-55,-67,-55,-62,-64,-56,-64,-53
3.5,1,-53,-51,-42,-52,-55,-67,-55,-62,-64,-56,-64,-53
3.5,1,-53,-50,-45,-52,-55,-67,-55,-62,-64,-58,-64,-53
3.5,1,-53,-50,-45,-51,-55,-67,-55,-62,-64,-55,-64,-53
3.5,1,-53,-50,-45,-51,-55,-67,-55,-62,-64,-55,-64,-53
3.5,1,-54,-50,-45,-51,-55,-67,-55,-62,-64,-55,-64,-53
3.5,1,-54,-50,-44,-51,-55,-67,-55,-62,-64,-55,-64,-53
3.5,1,-54,-50,-44,-51,-55,-67,-55,-62,-64,-55,-64,-53
3.5,1,-54,-50,-44,-51,-55,-67,-55,-62,-64,-55,-64,-53
3.5,1,-53,-50,-44,-51,-55,-67,-55,-62,-64,-55,-64,-55
3.5,1,-53,-51,-44,-51,-54,-67,-55,-62,-64,-55,-64,-55
3.5,1,-53,-51,-44,-51,-54,-67,-55,-62,-64,-55,-64,-55
3.5,1,-53,-51,-44,-51,-54,-67,-55,-62,-64,-55,-64,-55
3.5,1,-53,-51,-44,-51,-54,-67,-55,-62,-64,-55,-64,-55
3.5,1,-53,-51,-44,-51,-54,-69,-55,-62,-64,-55,-64,-55
3.5,1,-53,-51,-44,-51,-54,-69,-55,-65,-64,-55,-64,-55
3.5,1,-53,-51,-44,-51,-51,-69,-55,-65,-62,-55,-64,-55
3.5,1,-54,-51,-44,-51,-52,-70,-55,-65,-61,-56,-64,-54
3.5,1,-54,-51,-44,-51,-52,-70,-55,-65,-61,-56,-64,-54
3.5,1,-54,-51,-44,-51,-52,-70,-55,-65,-61,-56,-64,-54
3.5,1,-54,-51,-44,-51,-52,-72,-54,-65,-61,-56,-64,-54
3.5,1,-54,-50,-44,-51,-52,-74,-54,-65,-62,-56,-64,-54
3.5,1,-54,-50,-44,-51,-52,-74,-54,-65,-62,-56,-64,-54
3.5,1,-54,-50,-44,-51,-52,-74,-54,-65,-62,-56,-64,-54
3.5,1,-52,-50,-44,-51,-52,-66,-54,-62,-62,-56,-64,-56
3.5,1,-52,-50,-44,-51,-50,-66,-54,-62,-62,-56,-64,-59
3.5,1,-52,-50,-44,-51,-51,-66,-54,-62,-64,-56,-64,-59
3.5,1,-52,-50,-44,-51,-51,-66,-54,-62,-64,-56,-64,-54
3.5,1,-52,-50,-44,-51,-51,-66,-54,-62,-64,-56,-64,-54
3.5,1,-52,-50,-44,-51,-51,-66,-54,-62,-64,-55,-64,-54
3.5,1,-52,-50,-44,-51,-51,-66,-54,-62,-64,-55,-64,-54
3.5,1,-52,-50,-44,-51,-51,-66,-54,-62,-64,-55,-64,-54
3.5,1,-52,-50,-44,-51,-56,-66,-56,-62,-64,-55,-64,-54
3.5,1,-52,-50,-44,-51,-56,-66,-56,-62,-65,-55,-64,-54
3.5,1,-52,-50,-44,-51,-56,-66,-56,-63,-65,-55,-64,-54
3.5,1,-52,-50,-44,-51,-56,-66,-56,-63,-65,-55,-64,-54
3.5,1,-52,-50,-44,-51,-56,-66,-56,-63,-62,-55,-64,-54
