Pos_X,Pos_Y,Node_A,Node_B,Node_C,Node_D,Node_E,Node_F,Node_G,Node_H,Node_I,Node_J,Node_K,Node_L
3.5,3.5,-62,-64,-62,-57,-50,-61,-54,-54,-57,-60,-66,-57
3.5,3.5,-66,-63,-56,-59,-50,-61,-54,-54,-57,-65,-66,-57
3.5,3.5,-59,-65,-56,-57,-50,-61,-54,-54,-53,-65,-66,-57
3.5,3.5,-61,-62,-61,-55,-60,-61,-63,-54,-58,-58,-57,-57
3.5,3.5,-61,-58,-61,-56,-60,-61,-63,-54,-58,-58,-63,-57
3.5,3.5,-58,-58,-61,-57,-60,-61,-78,-54,-58,-58,-60,-57
3.5,3.5,-58,-58,-61,-57,-69,-49,-78,-54,-58,-58,-54,-66
3.5,3.5,-58,-58,-61,-57,-69,-52,-78,-54,-58,-58,-54,-62
3.5,3.5,-58,-62,-61,-57,-69,-47,-62,-51,-53,-57,-54,-62
3.5,3.5,-58,-62,-63,-57,-69,-47,-60,-51,-53,-57,-54,-65
3.5,3.5,-58,-62,-63,-57,-69,-47,-60,-51,-53,-57,-54,-65
3.5,3.5,-58,-62,-63,-53,-69,-47,-60,-50,-53,-57,-52,-65
3.5,3.5,-74,-62,-63,-53,-69,-47,-59,-50,-53,-57,-51,-65
3.5,3.5,-74,-62,-61,-53,-51,-47,-59,-51,-53,-57,-52,-59
3.5,3.5,-74,-62,-61,-53,-51,-47,-59,-51,-53,-57,-52,-59
3.5,3.5,-74,-62,-61,-53,-51,-47,-59,-51,-53,-57,-52,-57
3.5,3.5,-74,-62,-61,-53,-51,-56,-59,-51,-53,-57,-52,-57
3.5,3.5,-74,-62,-61,-53,-51,-54,-57,-50,-56,-57,-52,-57
3.5,3.5,-74,-62,-61,-53,-53,-54,-60,-50,-53,-57,-57,-57
3.5,3.5,-74,-62,-61,-53,-53,-54,-60,-50,-53,-57,-57,-57
3.5,3.5,-74,-62,-61,-53,-53,-50,-60,-50,-53,-57,-57,-57
3.5,3.5,-74,-62,-61,-53,-53,-50,-60,-50,-53,-57,-57,-57
3.5,3.5,-74,-62,-61,-53,-53,-50,-60,-50,-53,-57,-57,-67
3.5,3.5,-74,-62,-61,-53,-53,-50,-60,-50,-53,-57,-57,-67
3.5,3.5,-74,-62,-61,-53,-53,-50,-60,-50,-53,-57,-57,-67
3.5,3.5,-63,-62,-61,-53,-53,-50,-60,-50,-53,-57,-57,-67
3.5,3.5,-63,-62,-61,-53,-51,-50,-60,-50,-53,-57,-57,-67
3.5,3.5,-63,-62,-61,-53,-51,-50,-59,-50,-53,-58,-56,-67
3.5,3.5,-63,-59,-61,-54,-51,-50,-59,-50,-55,-58,-56,-65
3.5,3.5,-63,-59,-61,-54,-51,-50,-59,-50,-55,-58,-57,-65
3.5,3.5,-65,-59,-61,-55,-51,-50,-59,-50,-55,-58,-57,-65
3.5,3.5,-65,-59,-61,-55,-51,-50,-59,-50,-55,-58,-57,-65
3.5,3.5,-65,-59,-61,-55,-51,-50,-59,-50,-55,-58,-57,-65
3.5,3.5,-65,-59,-57,-54,-51,-50,-59,-50,-55,-58,-57,-65
3.5,3.5,-65,-59,-57,-55,-51,-49,-59,-50,-55,-58,-57,-65
3.5,3.5,-65,-59,-57,-55,-51,-49,-59,-50,-55,-58,-57,-65
3.5,3.5,-65,-59,-57,-55,-51,-49,-59,-50,-58,-60,-58,-67
3.5,3.5,-66,-60,-57,-54,-51,-49,-56,-50,-58,-59,-57,-70
3.5,3.5,-66,-60,-57,-54,-51,-49,-55,-50,-58,-59,-57,-70
3.5,3.5,-66,-60,-57,-54,-51,-49,-55,-50,-58,-59,-58,-70
3.5,3.5,-66,-60,-57,-54,-51,-49,-55,-50,-58,-59,-58,-70
3.5,3.5,-65,-60,-59,-54,-51,-49,-55,-53,-58,-59,-58,-70
3.5,3.5,-65,-60,-57,-54,-51,-49,-55,-53,-58,-59,-62,-69
3.5,3.5,-62,-60,-57,-54,-51,-49,-55,-53,-61,-59,-62,-82
3.5,3.5,-62,-60,-57,-54,-50,-53,-55,-54,-61,-59,-62,-82
