Pos_X,Pos_Y,Node_A,Node_B,Node_C,Node_D,Node_E,Node_F,Node_G,Node_H,Node_I,Node_J,Node_K,Node_L
0.5,3.5,-57,-50,-63,-60,-73,-60,-63,-62,-60,-41,-47,-56
0.5,3.5,-57,-50,-63,-60,-73,-60,-63,-62,-60,-41,-47,-56
0.5,3.5,-57,-50,-63,-66,-73,-64,-63,-62,-60,-41,-56,-56
0.5,3.5,-57,-50,-63,-66,-73,-64,-63,-62,-60,-47,-56,-56
0.5,3.5,-57,-50,-65,-66,-73,-78,-63,-62,-60,-47,-56,-56
0.5,3.5,-57,-50,-65,-66,-73,-78,-63,-62,-60,-47,-56,-56
0.5,3.5,-57,-57,-66,-66,-73,-78,-53,-62,-60,-47,-56,-57
0.5,3.5,-57,-57,-66,-66,-73,-78,-53,-62,-60,-47,-56,-57
0.5,3.5,-57,-57,-62,-66,-73,-78,-53,-62,-60,-47,-56,-57
0.5,3.5,-57,-57,-62,-66,-73,-61,-53,-61,-60,-47,-56,-57
0.5,3.5,-57,-57,-58,-66,-73,-61,-53,-61,-60,-47,-56,-57
0.5,3.5,-57,-65,-58,-66,-73,-61,-53,-61,-60,-47,-58,-61
0.5,3.5,-57,-65,-60,-66,-73,-61,-53,-61,-60,-47,-58,-61
0.5,3.5,-61,-65,-60,-66,-73,-67,-53,-58,-60,-47,-58,-61
0.5,3.5,-61,-65,-60,-66,-73,-67,-53,-58,-60,-44,-58,-61
0.5,3.5,-61,-65,-63,-63,-73,-67,-53,-58,-60,-44,-58,-61
0.5,3.5,-61,-65,-63,-63,-73,-67,-53,-58,-60,-44,-58,-59
0.5,3.5,-61,-65,-63,-64,-73,-67,-53,-58,-60,-44,-58,-59
0.5,3.5,-68,-62,-67,-64,-73,-59,-53,-58,-60,-43,-58,-59
0.5,3.5,-67,-62,-67,-63,-80,-59,-53,-58,-60,-38,-58,-59
0.5,3.5,-67,-62,-67,-66,-65,-59,-53,-58,-60,-38,-58,-59
0.5,3.5,-63,-62,-64,-66,-65,-59,-53,-62,-55,-42,-57,-59
0.5,3.5,-63,-62,-64,-66,-65,-59,-49,-62,-55,-42,-56,-59
0.5,3.5,-61,-60,-63,-67,-65,-62,-49,-56,-55,-41,-55,-55
0.5,3.5,-62,-60,-63,-67,-65,-65,-49,-56,-56,-41,-55,-55
0.5,3.5,-61,-63,-63,-68,-65,-67,-50,-56,-63,-41,-55,-55
0.5,3.5,-61,-63,-63,-68,-65,-67,-52,-62,-63,-45,-55,-55
0.5,3.5,-61,-63,-61,-68,-65,-67,-52,-62,-63,-43,-55,-55
0.5,3.5,-61,-66,-61,-68,-63,-67,-51,-61,-63,-43,-58,-55
0.5,3.5,-61,-66,-61,-68,-64,-67,-51,-61,-63,-43,-58,-55
0.5,3.5,-61,-66,-61,-68,-64,-69,-51,-61,-63,-43,-58,-55
0.5,3.5,-61,-66,-61,-65,-64,-74,-50,-61,-63,-43,-58,-62
0.5,3.5,-61,-61,-61,-65,-64,-74,-50,-62,-57,-42,-58,-62
0.5,3.5,-61,-61,-62,-65,-66,-83,-50,-62,-57,-42,-58,-62
0.5,3.5,-61,-61,-62,-65,-66,-83,-50,-63,-57,-42,-58,-62
0.5,3.5,-59,-61,-62,-65,-66,-83,-50,-63,-57,-42,-58,-62
0.5,3.5,-59,-61,-62,-65,-66,-83,-50,-63,-58,-42,-58,-62
0.5,3.5,-59,-70,-62,-65,-66,-83,-50,-63,-58,-42,-58,-62
0.5,3.5,-62,-70,-62,-65,-66,-83,-50,-63,-58,-42,-58,-62
0.5,3.5,-62,-76,-62,-65,-66,-83,-51,-63,-58,-42,-58,-62
0.5,3.5,-62,-76,-62,-65,-66,-83,-51,-66,-58,-42,-58,-62
0.5,3.5,-58,-76,-63,-65,-65,-83,-51,-66,-58,-42,-55,-63
