Pos_X,Pos_Y,Node_A,Node_B,Node_C,Node_D,Node_E,Node_F,Node_G,Node_H,Node_I,Node_J,Node_K,Node_L
1.5,3.5,-62,-65,-64,-62,-72,-61,-55,-53,-57,-54,-55,-65
1.5,3.5,-62,-65,-64,-62,-67,-60,-55,-53,-57,-54,-55,-65
1.5,3.5,-62,-65,-64,-62,-67,-60,-54,-53,-57,-54,-55,-70
1.5,3.5,-62,-65,-64,-62,-67,-60,-54,-54,-57,-54,-55,-70
1.5,3.5,-62,-65,-64,-62,-69,-60,-53,-54,-57,-54,-57,-70
1.5,3.5,-62,-65,-64,-62,-69,-60,-53,-54,-58,-54,-57,-70
1.5,3.5,-62,-65,-64,-62,-69,-60,-53,-54,-58,-54,-57,-70
1.5,3.5,-62,-65,-64,-71,-69,-60,-53,-54,-58,-54,-57,-70
1.5,3.5,-62,-68,-64,-71,-69,-61,-53,-54,-58,-54,-58,-61
1.5,3.5,-62,-64,-62,-66,-69,-58,-53,-54,-57,-54,-58,-61
1.5,3.5,-62,-64,-61,-66,-73,-58,-53,-54,-57,-52,-58,-61
1.5,3.5,-65,-64,-61,-65,-73,-61,-53,-53,-58,-50,-58,-61
1.5,3.5,-65,-64,-66,-65,-73,-61,-54,-53,-58,-50,-58,-61
1.5,3.5,-71,-64,-66,-67,-64,-61,-54,-53,-58,-50,-58,-61
1.5,3.5,-71,-61,-66,-72,-64,-59,-54,-53,-58,-50,-59,-61
1.5,3.5,-64,-61,-60,-72,-64,-62,-54,-55,-55,-55,-65,-65
1.5,3.5,-64,-61,-60,-72,-64,-62,-55,-55,-55,-55,-65,-67
1.5,3.5,-64,-61,-60,-62,-64,-62,-60,-55,-53,-55,-65,-64
1.5,3.5,-58,-61,-60,-62,-64,-62,-60,-58,-53,-55,-65,-62
1.5,3.5,-58,-59,-60,-61,-67,-55,-54,-58,-53,-55,-66,-66
1.5,3.5,-58,-59,-60,-61,-67,-55,-54,-58,-53,-54,-66,-66
1.5,3.5,-58,-59,-60,-61,-67,-55,-54,-58,-53,-54,-66,-66
1.5,3.5,-58,-59,-60,-61,-67,-55,-54,-58,-57,-54,-66,-66
1.5,3.5,-58,-57,-66,-61,-67,-55,-54,-58,-52,-54,-66,-66
1.5,3.5,-58,-57,-66,-61,-67,-55,-54,-58,-52,-54,-66,-66
1.5,3.5,-58,-57,-66,-62,-67,-55,-54,-58,-52,-54,-66,-66
1.5,3.5,-53,-58,-66,-62,-70,-54,-54,-52,-52,-55,-65,-60
1.5,3.5,-57,-58,-66,-62,-70,-54,-54,-52,-52,-55,-62,-60
1.5,3.5,-58,-58,-66,-62,-70,-54,-54,-52,-52,-55,-62,-58
1.5,3.5,-58,-58,-66,-62,-70,-54,-58,-52,-52,-55,-62,-58
1.5,3.5,-58,-58,-66,-62,-66,-54,-58,-52,-52,-55,-62,-58
1.5,3.5,-58,-58,-66,-62,-68,-54,-58,-54,-52,-55,-69,-61
1.5,3.5,-58,-57,-75,-62,-68,-54,-58,-54,-52,-55,-69,-61
1.5,3.5,-58,-57,-75,-62,-68,-54,-58,-54,-52,-54,-64,-61
1.5,3.5,-58,-57,-75,-62,-68,-54,-58,-54,-52,-54,-64,-61
1.5,3.5,-58,-57,-75,-62,-68,-55,-58,-54,-52,-54,-64,-61
1.5,3.5,-58,-57,-75,-62,-68,-56,-58,-54,-53,-54,-64,-61
1.5,3.5,-58,-56,-75,-62,-68,-56,-58,-54,-53,-50,-62,-61
1.5,3.5,-58,-56,-75,-62,-68,-56,-58,-54,-53,-50,-62,-61
1.5,3.5,-59,-56,-75,-61,-66,-56,-58,-53,-53,-50,-63,-64
1.5,3.5,-59,-57,-75,-60,-67,-56,-62,-53,-53,-50,-63,-63
1.5,3.5,-59,-58,-75,-60,-67,-56,-62,-53,-53,-50,-63,-63
1.5,3.5,-59,-58,-75,-60,-67,-56,-61,-53,-53,-48,-62,-63
1.5,3.5,-60,-57,-75,-59,-67,-56,-61,-53,-53,-50,-62,-63
1.5,3.5,-60,-57,-75,-59,-67,-55,-61,-53,-52,-50,-63,-63
1.5,3.5,-60,-57,-69,-59,-67,-54,-61,-53,-53,-50,-63,-63
1.5,3.5,-60,-58,-69,-59,-67,-54,-61,-53,-53,-50,-63,-63
1.5,3.5,-60,-58,-69,-59,-67,-54,-61,-53,-53,-50,-63,-64
1.5,3.5,-58,-57,-65,-61,-67,-54,-61,-53,-53,-51,-63,-64
1.5,3.5,-60,-57,-65,-61,-67,-54,-60,-54,-53,-51,-64,-65
1.5,3.5,-60,-57,-65,-61,-67,-54,-60,-54,-54,-50,-64,-65
1.5,3.5,-60,-57,-65,-62,-67,-54,-60,-54,-54,-49,-63,-61
