Pos_X,Pos_Y,Node_A,Node_B,Node_C,Node_D,Node_E,Node_F,Node_G,Node_H,Node_I,Node_J,Node_K,Node_L
1.5,2.5,-66,-58,-53,-52,-53,-56,-63,-68,-59,-60,-57,-54
1.5,2.5,-66,-58,-52,-52,-53,-56,-63,-68,-59,-60,-57,-54
1.5,2.5,-69,-58,-52,-52,-53,-56,-63,-68,-59,-60,-57,-60
1.5,2.5,-69,-58,-52,-52,-53,-56,-63,-68,-59,-60,-57,-60
1.5,2.5,-69,-58,-52,-52,-53,-56,-63,-68,-59,-60,-57,-60
1.5,2.5,-69,-53,-52,-52,-53,-56,-63,-68,-59,-60,-58,-56
1.5,2.5,-69,-53,-52,-52,-53,-56,-63,-68,-59,-60,-58,-54
1.5,2.5,-68,-53,-52,-52,-53,-56,-64,-68,-59,-60,-58,-55
1.5,2.5,-68,-53,-52,-52,-53,-56,-64,-68,-59,-60,-58,-55
1.5,2.5,-68,-52,-53,-51,-53,-56,-64,-68,-60,-60,-58,-54
1.5,2.5,-65,-53,-52,-51,-53,-56,-64,-68,-60,-60,-58,-54
1.5,2.5,-65,-53,-52,-51,-53,-56,-64,-68,-58,-60,-58,-54
1.5,2.5,-65,-53,-52,-51,-53,-56,-64,-68,-58,-60,-59,-57
1.5,2.5,-65,-52,-52,-51,-53,-56,-64,-68,-58,-60,-59,-57
1.5,2.5,-64,-52,-52,-51,-53,-56,-64,-68,-58,-60,-59,-57
1.5,2.5,-65,-52,-52,-51,-53,-56,-64,-68,-58,-60,-59,-57
1.5,2.5,-65,-52,-53,-50,-53,-56,-64,-65,-58,-60,-59,-58
1.5,2.5,-65,-52,-53,-50,-53,-56,-71,-65,-58,-60,-59,-59
1.5,2.5,-65,-52,-53,-50,-57,-56,-71,-67,-58,-60,-55,-59
1.5,2.5,-62,-51,-53,-50,-57,-56,-71,-71,-66,-63,-56,-59
1.5,2.5,-61,-51,-53,-50,-57,-56,-71,-71,-61,-63,-56,-59
1.5,2.5,-61,-54,-53,-50,-57,-56,-71,-71,-64,-60,-62,-59
1.5,2.5,-61,-50,-53,-50,-59,-56,-74,-71,-64,-60,-62,-59
1.5,2.5,-61,-50,-53,-50,-60,-62,-74,-64,-64,-60,-62,-59
1.5,2.5,-61,-50,-52,-50,-59,-64,-74,-64,-64,-60,-62,-59
1.5,2.5,-61,-54,-52,-50,-59,-64,-74,-64,-64,-60,-59,-59
1.5,2.5,-61,-54,-52,-50,-59,-63,-74,-64,-64,-60,-58,-59
1.5,2.5,-61,-52,-53,-50,-59,-63,-74,-63,-64,-60,-58,-59
1.5,2.5,-61,-53,-52,-50,-59,-63,-74,-63,-64,-60,-58,-59
1.5,2.5,-61,-53,-52,-50,-59,-63,-74,-63,-64,-60,-58,-59
1.5,2.5,-62,-53,-52,-50,-61,-63,-74,-63,-61,-60,-58,-59
1.5,2.5,-62,-53,-52,-50,-61,-63,-74,-63,-59,-58,-58,-59
1.5,2.5,-62,-52,-53,-50,-57,-63,-74,-65,-60,-58,-58,-59
1.5,2.5,-62,-52,-53,-50,-57,-63,-74,-65,-60,-58,-58,-59
1.5,2.5,-62,-52,-53,-50,-57,-63,-74,-65,-59,-58,-58,-60
1.5,2.5,-62,-52,-53,-50,-57,-63,-74,-65,-59,-58,-55,-60
1.5,2.5,-62,-52,-53,-50,-57,-63,-74,-65,-59,-55,-55,-60
1.5,2.5,-64,-52,-53,-50,-57,-63,-69,-65,-60,-55,-55,-58
1.5,2.5,-64,-52,-53,-50,-57,-63,-69,-65,-60,-55,-55,-58
1.5,2.5,-64,-52,-53,-50,-57,-63,-69,-65,-58,-56,-55,-58
1.5,2.5,-62,-52,-53,-51,-56,-63,-69,-65,-58,-57,-55,-58
1.5,2.5,-62,-48,-53,-51,-56,-63,-69,-65,-58,-57,-61,-58
1.5,2.5,-61,-52,-53,-51,-58,-68,-69,-72,-58,-58,-61,-58
1.5,2.5,-61,-52,-53,-51,-58,-68,-69,-72,-58,-58,-61,-58
1.5,2.5,-61,-52,-53,-51,-58,-68,-69,-72,-58,-61,-61,-58
1.5,2.5,-60,-52,-53,-49,-61,-68,-69,-72,-63,-63,-63,-57
1.5,2.5,-60,-52,-53,-49,-61,-68,-69,-60,-63,-63,-64,-57
1.5,2.5,-60,-52,-53,-49,-65,-68,-69,-62,-63,-63,-63,-57
1.5,2.5,-60,-52,-54,-49,-65,-59,-69,-62,-63,-63,-63,-57
1.5,2.5,-60,-52,-54,-50,-67,-59,-69,-62,-63,-63,-63,-58
1.5,2.5,-60,-53,-54,-51,-67,-59,-69,-62,-65,-63,-63,-58
1.5,2.5,-60,-53,-54,-51,-67,-59,-69,-62,-65,-63,-63,-58
1.5,2.5,-60,-53,-54,-51,-67,-59,-69,-62,-65,-63,-63,-63
1.5,2.5,-60,-53,-54,-51,-67,-59,-69,-62,-66,-63,-63,-63
1.5,2.5,-60,-53,-54,-51,-67,-59,-69,-62,-66,-63,-63,-60
